#,Time,P (psi)
1.),'08-09-2021 09:20:08.000',-0.47
2.),'08-09-2021 09:20:08.050',-0.47
3.),'08-09-2021 09:20:08.100',-0.56
4.),'08-09-2021 09:20:08.150',-0.47
5.),'08-09-2021 09:20:08.200',-0.45
6.),'08-09-2021 09:20:08.250',-0.46
7.),'08-09-2021 09:20:08.300',-0.45
8.),'08-09-2021 09:20:08.350',-0.45
9.),'08-09-2021 09:20:08.400',-0.46
10.),'08-09-2021 09:20:08.450',-0.46
11.),'08-09-2021 09:20:08.500',-0.46
12.),'08-09-2021 09:20:08.550',-0.47
13.),'08-09-2021 09:20:08.600',-0.46
14.),'08-09-2021 09:20:08.650',-0.46
15.),'08-09-2021 09:20:08.700',-0.46
16.),'08-09-2021 09:20:08.750',-0.46
17.),'08-09-2021 09:20:08.800',-0.44
18.),'08-09-2021 09:20:08.850',-0.45
19.),'08-09-2021 09:20:08.900',-0.46
20.),'08-09-2021 09:20:08.950',-0.47
21.),'08-09-2021 09:20:09.000',-0.41
22.),'08-09-2021 09:20:09.050',-0.44
23.),'08-09-2021 09:20:09.100',-0.45
24.),'08-09-2021 09:20:09.150',-0.45
25.),'08-09-2021 09:20:09.200',-0.45
26.),'08-09-2021 09:20:09.250',-0.46
27.),'08-09-2021 09:20:09.300',-0.46
28.),'08-09-2021 09:20:09.350',-0.67
29.),'08-09-2021 09:20:09.400',-0.49
30.),'08-09-2021 09:20:09.450',-0.46
31.),'08-09-2021 09:20:09.500',-0.45
32.),'08-09-2021 09:20:09.550',-0.45
33.),'08-09-2021 09:20:09.600',-0.45
34.),'08-09-2021 09:20:09.650',-0.45
35.),'08-09-2021 09:20:09.700',-0.45
36.),'08-09-2021 09:20:09.750',-0.45
37.),'08-09-2021 09:20:09.800',-0.45
38.),'08-09-2021 09:20:09.850',-0.45
39.),'08-09-2021 09:20:09.900',-0.45
40.),'08-09-2021 09:20:09.950',-0.46
41.),'08-09-2021 09:20:10.000',-0.46
42.),'08-09-2021 09:20:10.050',-0.45
43.),'08-09-2021 09:20:10.100',-0.45
44.),'08-09-2021 09:20:10.150',-0.45
